adult,backdrop_path,genre_ids,id,origin_country,original_language,original_name,overview,popularity,poster_path,first_air_date,name,vote_average,vote_count
False,/5BvjF6KH25BKSQcNYDdzVhtnPzJ.jpg,"[18, 9648]",156484,['KR'],ko,The 8 Show,Eight individuals trapped in a mysterious 8-story building participate in a tempting but dangerous show where they earn money as time passes.,5.5538,/umBNBnKThMmF1QQZixZ7rsYOowq.jpg,2024-05-17,The 8 Show,7.224,234
False,/8NK9un1DPUTgRzGtJHMvpdIB5Ay.jpg,"[18, 35]",99048,['KR'],ko,스타트업,Young entrepreneurs aspiring to launch virtual dreams into reality compete for success and love in the cutthroat world of Korea's high-tech industry.,6.801,/hxJQ3A2wtreuWDnVBbzzXI3YlOE.jpg,2020-10-17,Start-Up,8.262,323
False,/bhCUn6Z509qTV4eBJZtjtQ4ennL.jpg,[18],205319,['KR'],ko,정신병동에도 아침이 와요,"A kind-hearted nurse working in psychiatry goes above and beyond to be a ray of light for those under her care, despite the challenges coming her way.",5.8574,/d9hIiomaPXu6W9qATzPSqHgxze8.jpg,2023-11-03,Daily Dose of Sunshine,8.119,97
False,/s2KfCTh8yifvoZXlTvui1m4dxnQ.jpg,"[18, 35]",154824,['KR'],ko,이번 생도 잘 부탁해,"Ban Ji-eum can endlessly reincarnate. But when her 18th life gets cut short, she dedicates the next one to finding her now grown-up childhood love.",5.818,/zbP6wPbdFCTFnzuZoVXMw9q5Hno.jpg,2023-06-17,See You in My 19th Life,8.132,163
False,/vedAdBWNA4NjSi5SMpUQtXhePfz.jpg,"[18, 35]",93097,['KR'],ko,동백꽃 필 무렵,"Dong-baek is a single mother. When a potential new love enters her life, she finds ways to defy the social stigmas surrounding her.",5.8602,/bCrYA7xyHJtPnTWZU60pVBRSFZc.jpg,2019-09-18,When the Camellia Blooms,8.19,58
False,/oBLzaHvZfTmZlNQeRF1ZouX4WjK.jpg,[18],90721,['KR'],ko,신입사관 구해령,The story takes place at the beginning of the 19th century. Goo Hae-Ryung is a historian who tries to fight gender stereotypes as her work is often looked down on. She meets Prince Yi Rim.,6.1308,/ijHgv6ZbvW4ZUu2QbHwOSb3YPTK.jpg,2019-07-17,Rookie Historian Goo Hae-Ryung,7.484,61
False,/o3tS28maAJTDt9Zmnn4JvNv2Hix.jpg,"[18, 35]",202318,['KR'],ko,일타 스캔들,"The series follows the bittersweet relationship between a banchan shop owner whose daughter enters the war of Korea's college entrance exams, and a top hagwon instructor.",5.523,/qRDWZeaJirRjezReXPVH1C7wOkM.jpg,2023-01-14,Crash Course in Romance,8.232,99
False,/oNn65nwVPP8bkRYVv9TmaxdmWgY.jpg,"[10765, 35, 18]",97219,['KR'],ko,"하이바이, 마마!","Cha Yu-ri died in an accident five years ago, leaving her husband Cho Gang-hwa to raise their daughter by himself. She becomes a ghost and watches over them until one fateful day she is brought back to life by the deities and told she become human again if she returns to her place in 49 days. Though her husband has remarried, so she must decide between her or his happiness as she slowly re-integrates back into her old lifestyle.",5.0865,/mc5nLj2EM480d6tlxKsj2GRfsDC.jpg,2020-02-22,"Hi Bye, Mama!",8.087,446
False,/17yvu1IGd1sTLugw2yXO1i2R3cT.jpg,"[18, 80, 9648]",119773,['KR'],ko,로스쿨,"Following the case of the murder of a professor at South Korea's top prestigious law school, professors and students become suspects in the murder.",4.6072,/52LCQBgB9Lu0djjIU24p6YI5sQk.jpg,2021-04-14,Law School,7.755,53
False,/h31iY3429ivyMCRr9gyt2msBECn.jpg,"[10759, 80, 9648, 10765, 18]",97766,['KR'],ko,루갈,A police detective who loses everything to a criminal organization seeks payback when he gains special abilities through biotechnology.,5.329,/lLXeqmvJ6KnWz1ifLMBPHYOovCt.jpg,2020-03-28,Rugal,6.941,51
